"entrez_id"	"ensembl_gene_id"
84517	"ENSG00000184378"
90	"ENSG00000115170"
91	"ENSG00000135503"
130399	"ENSG00000123612"
92	"ENSG00000121989"
93	"ENSG00000114739"
94	"ENSG00000139567"
95	"ENSG00000243989"
91703	"ENSG00000132744"
97	"ENSG00000119640"
98	"ENSG00000170634"
100	"ENSG00000196839"
132612	"ENSG00000164113"
161931	"ENSG00000140955"
161823	"ENSG00000168803"
2515	"ENSG00000104755"
8756	"ENSG00000069206"
101	"ENSG00000151651"
8754	"ENSG00000168615"
102	"ENSG00000137845"
4185	"ENSG00000073670"
8038	"ENSG00000148848"
8751	"ENSG00000143537"
6868	"ENSG00000151694"
8749	"ENSG00000168619"
8728	"ENSG00000135074"
8748	"ENSG00000134007"
8747	"ENSG00000139985"
53616	"ENSG00000008277"
8745	"ENSG00000114948"
10863	"ENSG00000042980"
11086	"ENSG00000168594"
11085	"ENSG00000134249"
203102	"ENSG00000197140"
80332	"ENSG00000149451"
27299	"ENSG00000134028"
9510	"ENSG00000154734"
9509	"ENSG00000087116"
9508	"ENSG00000156140"
9507	"ENSG00000158859"
11096	"ENSG00000154736"
11174	"ENSG00000049192"
11173	"ENSG00000136378"
11095	"ENSG00000134917"
56999	"ENSG00000163638"
81794	"ENSG00000142303"
81792	"ENSG00000151388"
11093	"ENSG00000160323"
140766	"ENSG00000138316"
170689	"ENSG00000166106"
170690	"ENSG00000145536"
170691	"ENSG00000140470"
170692	"ENSG00000140873"
171019	"ENSG00000145808"
80070	"ENSG00000173157"
92949	"ENSG00000178031"
9719	"ENSG00000197859"
57188	"ENSG00000156218"
54507	"ENSG00000143382"
339366	"ENSG00000185761"
11033	"ENSG00000105963"
55803	"ENSG00000184060"
103	"ENSG00000160710"
104	"ENSG00000197381"
105	"ENSG00000185736"
23536	"ENSG00000065457"
134637	"ENSG00000189007"
113179	"ENSG00000213638"
57143	"ENSG00000063761"
90956	"ENSG00000133597"
56997	"ENSG00000163050"
79934	"ENSG00000123815"
203054	"ENSG00000173137"
107	"ENSG00000164742"
108	"ENSG00000078295"
109	"ENSG00000138031"
196883	"ENSG00000129467"
111	"ENSG00000173175"
112	"ENSG00000174233"
113	"ENSG00000121281"
114	"ENSG00000155897"
115	"ENSG00000162104"
55811	"ENSG00000143199"
116	"ENSG00000141433"
117	"ENSG00000078549"
118	"ENSG00000087274"
119	"ENSG00000075340"
120	"ENSG00000148700"
79747	"ENSG00000118492"
84435	"ENSG00000197177"
25960	"ENSG00000020181"
166647	"ENSG00000152990"
575	"ENSG00000181790"
576	"ENSG00000121753"
577	"ENSG00000135298"
283383	"ENSG00000111452"
347088	"ENSG00000180264"
2015	"ENSG00000174837"
30817	"ENSG00000127507"
84658	"ENSG00000131355"
976	"ENSG00000123146"
266977	"ENSG00000153292"
222611	"ENSG00000164393"
165082	"ENSG00000173567"
221393	"ENSG00000153294"
221395	"ENSG00000069122"
9289	"ENSG00000205336"
10149	"ENSG00000173698"
222487	"ENSG00000182885"
139378	"ENSG00000156920"
221188	"ENSG00000159618"
57211	"ENSG00000112414"
84873	"ENSG00000144820"
22859	"ENSG00000072071"
23266	"ENSG00000117114"
23284	"ENSG00000150471"
64123	"ENSG00000162618"
84059	"ENSG00000164199"
124	"ENSG00000187758"
125	"ENSG00000196616"
126	"ENSG00000248144"
127	"ENSG00000198099"
128	"ENSG00000197894"
130	"ENSG00000172955"
131	"ENSG00000196344"
137872	"ENSG00000147576"
55256	"ENSG00000182551"
149685	"ENSG00000182035"
9370	"ENSG00000181092"
51094	"ENSG00000159346"
79602	"ENSG00000006831"
10974	"ENSG00000148671"
132	"ENSG00000156110"
133	"ENSG00000148926"
79924	"ENSG00000128165"
199800	"ENSG00000224420"
23394	"ENSG00000101126"
22850	"ENSG00000101544"
84890	"ENSG00000181915"
134	"ENSG00000163485"
135	"ENSG00000128271"
136	"ENSG00000170425"
140	"ENSG00000282608"
83440	"ENSG00000159322"
141	"ENSG00000144843"
113622	"ENSG00000153531"
54936	"ENSG00000116863"
56985	"ENSG00000170222"
148	"ENSG00000120907"
147	"ENSG00000170214"
146	"ENSG00000171873"
150	"ENSG00000150594"
151	"ENSG00000274286"
152	"ENSG00000184160"
153	"ENSG00000043591"
154	"ENSG00000169252"
155	"ENSG00000188778"
11047	"ENSG00000130706"
158	"ENSG00000239900"
159	"ENSG00000035687"
122622	"ENSG00000185100"
84830	"ENSG00000111863"
165	"ENSG00000106624"
121536	"ENSG00000139154"
64782	"ENSG00000181026"
166	"ENSG00000104964"
60312	"ENSG00000196526"
134265	"ENSG00000157510"
84632	"ENSG00000169129"
4301	"ENSG00000130396"
4299	"ENSG00000172493"
2334	"ENSG00000155966"
3899	"ENSG00000144218"
27125	"ENSG00000072364"
10939	"ENSG00000141385"
173	"ENSG00000079557"
125061	"ENSG00000183077"
174	"ENSG00000081051"
54812	"ENSG00000119844"
175	"ENSG00000038002"
116987	"ENSG00000157985"
116986	"ENSG00000135439"
116988	"ENSG00000133612"
119016	"ENSG00000188234"
729092	"ENSG00000172650"
414189	"ENSG00000204149"
642517	"ENSG00000204172"
123624	"ENSG00000166748"
79841	"ENSG00000165923"
340351	"ENSG00000146856"
84871	"ENSG00000186094"
60509	"ENSG00000084693"
177	"ENSG00000204305"
3267	"ENSG00000173744"
3268	"ENSG00000106351"
55109	"ENSG00000164252"
55750	"ENSG00000006530"
178	"ENSG00000162688"
79814	"ENSG00000116771"
392636	"ENSG00000187546"
26523	"ENSG00000092847"
27161	"ENSG00000123908"
192669	"ENSG00000126070"
192670	"ENSG00000134698"
10554	"ENSG00000204310"
10555	"ENSG00000169692"
56894	"ENSG00000160216"
56895	"ENSG00000026652"
55326	"ENSG00000155189"
8540	"ENSG00000018510"
10551	"ENSG00000106541"
155465	"ENSG00000173467"
375790	"ENSG00000188157"
181	"ENSG00000159723"
183	"ENSG00000135744"
23287	"ENSG00000135049"
185	"ENSG00000144891"
186	"ENSG00000180772"
57085	"ENSG00000177674"
189	"ENSG00000172482"
64902	"ENSG00000113492"
25909	"ENSG00000153207"
191	"ENSG00000101444"
10768	"ENSG00000168710"
23382	"ENSG00000158467"
27245	"ENSG00000126705"
54806	"ENSG00000135541"
79026	"ENSG00000124942"
113146	"ENSG00000185567"
196	"ENSG00000106546"
57491	"ENSG00000063438"
10598	"ENSG00000100591"
130872	"ENSG00000173209"
