microRNA	P-value (global)	P-value (local)	Association	Target (Gene Symbol)	Target (Entrez)
hsa-miR-27b	7.29e-19	3.3e-13	negative	MANEAL	149175
hsa-miR-27b	7.29e-19	1.18e-12	negative	NUP210	23225
hsa-miR-27b	7.29e-19	7.8e-11	negative	HNF4G	3174
hsa-miR-27b	7.29e-19	2.21e-09	negative	FAM84B	157638
hsa-miR-27b	7.29e-19	5.06e-08	negative	WNT3A	89780
hsa-miR-27b	7.29e-19	6.26e-08	negative	DEPDC1B	55789
hsa-miR-27b	7.29e-19	1.72e-07	negative	NEUROD4	58158
hsa-miR-27b	7.29e-19	1.73e-07	negative	ELFN2	114794
hsa-miR-27b	7.29e-19	1.95e-07	negative	GDF6	392255
hsa-miR-27b	7.29e-19	2.64e-07	negative	RUNDC3A	10900
hsa-miR-27b	7.29e-19	5.56e-07	negative	CA10	56934
hsa-miR-27b	7.29e-19	5.93e-07	negative	DISC1	27185
hsa-miR-27b	7.29e-19	7.1e-07	negative	SLC35F3	148641
hsa-miR-27b	7.29e-19	7.81e-07	negative	FAM222A	84915
hsa-miR-27b	7.29e-19	1.07e-06	negative	IGLON5	402665
hsa-miR-27b	7.29e-19	1.71e-06	negative	PTPRT	11122
hsa-miR-27b	7.29e-19	2.03e-06	negative	MOSPD3	64598
hsa-miR-27b	7.29e-19	2.23e-06	negative	SLITRK1	114798
hsa-miR-27b	7.29e-19	2.59e-06	negative	UNKL	64718
hsa-miR-27b	7.29e-19	2.94e-06	negative	RGS6	9628
hsa-miR-27b	7.29e-19	3.22e-06	negative	EN2	2020
hsa-miR-27b	7.29e-19	4.12e-06	negative	ABCB9	23457
hsa-miR-27b	7.29e-19	4.34e-06	negative	CACNA1A	773
hsa-miR-27b	7.29e-19	6.35e-06	negative	PRMT8	56341
hsa-miR-27b	7.29e-19	8.53e-06	negative	CLPP	8192
hsa-miR-27b	7.29e-19	8.66e-06	negative	SOX11	6664
hsa-miR-27b	7.29e-19	9.77e-06	negative	CHST1	8534
hsa-miR-27b	7.29e-19	1.04e-05	negative	CCDC71	64925
hsa-miR-27b	7.29e-19	1.86e-05	negative	NR2F6	2063
hsa-miR-27b	7.29e-19	2.56e-05	negative	FCRL1	115350
hsa-miR-27b	7.29e-19	2.74e-05	negative	PPIF	10105
hsa-miR-27b	7.29e-19	3.28e-05	negative	CCM2	83605
hsa-miR-27b	7.29e-19	3.39e-05	negative	PALM2	114299
hsa-miR-27b	7.29e-19	3.47e-05	negative	HORMAD2	150280
hsa-miR-27b	7.29e-19	3.48e-05	negative	DLGAP3	58512
hsa-miR-27b	7.29e-19	4.5e-05	negative	CCDC28B	79140
hsa-miR-27b	7.29e-19	4.79e-05	negative	SH2D3C	10044
hsa-miR-27b	7.29e-19	5.51e-05	negative	OTX2	5015
hsa-miR-27b	7.29e-19	6.11e-05	negative	HAPLN1	1404
hsa-miR-27b	7.29e-19	6.51e-05	negative	CBFA2T3	863
hsa-miR-27b	7.29e-19	6.93e-05	negative	SHANK3	85358
hsa-miR-27b	7.29e-19	7.27e-05	negative	KCTD4	386618
hsa-miR-27b	7.29e-19	7.54e-05	negative	DOT1L	84444
hsa-miR-27b	7.29e-19	8.47e-05	negative	NEURL4	84461
hsa-miR-27b	7.29e-19	8.67e-05	negative	SPATA2	9825
hsa-miR-27b	7.29e-19	0.000114	negative	FGF14	2259
hsa-miR-27b	7.29e-19	0.000132	negative	RUVBL2	10856
hsa-miR-27b	7.29e-19	0.000167	negative	GRIN2D	2906
hsa-miR-27b	7.29e-19	0.000178	negative	VIP	7432
hsa-miR-27b	7.29e-19	0.000206	negative	FAM193B	54540
hsa-miR-27b	7.29e-19	0.000208	negative	PROSAPIP1	9762
hsa-miR-27b	7.29e-19	0.000234	negative	PKIA	5569
hsa-miR-27b	7.29e-19	0.000252	negative	RNF182	221687
hsa-miR-27b	7.29e-19	0.000303	negative	TMUB1	83590
hsa-miR-27b	7.29e-19	0.000314	negative	C10orf114	399726
hsa-miR-27b	7.29e-19	0.000326	negative	LIN28B	389421
hsa-miR-27b	7.29e-19	0.000346	negative	B4GALT3	8703
hsa-miR-27b	7.29e-19	0.000358	negative	MFSD2A	84879
hsa-miR-27b	7.29e-19	0.000364	negative	ST6GALNAC3	256435
hsa-miR-27b	7.29e-19	0.000369	negative	FNDC4	64838
hsa-miR-27b	7.29e-19	0.00039	negative	CECR6	27439
hsa-miR-27b	7.29e-19	0.000395	negative	DCX	1641
hsa-miR-27b	7.29e-19	0.000452	negative	SLC9A4	389015
hsa-miR-27b	7.29e-19	0.000508	negative	MEPCE	56257
hsa-miR-27b	7.29e-19	0.000555	negative	CNR1	1268
hsa-miR-27b	7.29e-19	0.000575	negative	FOXP4	116113
hsa-miR-27b	7.29e-19	0.000657	negative	PPFIA2	8499
hsa-miR-27b	7.29e-19	0.000673	negative	MESDC1	59274
hsa-miR-27b	7.29e-19	0.000819	negative	EDAR	10913
hsa-miR-27b	7.29e-19	0.000835	negative	AQP11	282679
hsa-miR-27b	7.29e-19	0.000987	negative	MAPK8IP3	23162
hsa-miR-27b	7.29e-19	0.00107	negative	NETO1	81832
hsa-miR-27b	7.29e-19	0.00125	negative	FRS3	10817
hsa-miR-27b	7.29e-19	0.00127	negative	ADAMTS6	11174
hsa-miR-27b	7.29e-19	0.00167	negative	SEMA7A	8482
hsa-miR-27b	7.29e-19	0.00187	negative	HOXB8	3218
hsa-miR-27b	7.29e-19	0.00194	negative	MDFI	4188
hsa-miR-27b	7.29e-19	0.00232	negative	PDE6D	5147
hsa-miR-27b	7.29e-19	0.00232	negative	CDH5	1003
hsa-miR-27b	7.29e-19	0.00276	negative	LRRTM2	26045
hsa-miR-27b	7.29e-19	0.0039	negative	NR5A2	2494
hsa-miR-27b	7.29e-19	0.00394	negative	STMN2	11075
hsa-miR-27b	7.29e-19	0.00397	negative	RAB20	55647
hsa-miR-27b	7.29e-19	0.0041	negative	VEGFC	7424
hsa-miR-27b	7.29e-19	0.00556	negative	NLN	57486
hsa-miR-27b	7.29e-19	0.00566	negative	PLCH1	23007
hsa-miR-27b	7.29e-19	1.97e-29	positive	ACTA2	59
hsa-miR-27b	7.29e-19	5.12e-25	positive	MEIS2	4212
hsa-miR-27b	7.29e-19	1.58e-20	positive	BAG2	9532
hsa-miR-27b	7.29e-19	5.39e-19	positive	NREP	9315
hsa-miR-27b	7.29e-19	8.55e-19	positive	TEAD1	7003
hsa-miR-27b	7.29e-19	9.41e-19	positive	ZFP36L1	677
hsa-miR-27b	7.29e-19	6.96e-15	positive	LPAR6	10161
hsa-miR-27b	7.29e-19	7.95e-15	positive	C20orf194	25943
hsa-miR-27b	7.29e-19	1.03e-13	positive	NFE2L2	4780
hsa-miR-27b	7.29e-19	3.04e-13	positive	TGFBR1	7046
hsa-miR-27b	7.29e-19	4.32e-13	positive	CNN3	1266
hsa-miR-27b	7.29e-19	8.6e-13	positive	FBLN5	10516
hsa-miR-27b	7.29e-19	9e-13	positive	NCS1	23413
hsa-miR-27b	7.29e-19	1.23e-12	positive	SFRP1	6422
hsa-miR-27b	7.29e-19	1.34e-12	positive	VPS37A	137492
hsa-miR-27b	7.29e-19	2.31e-12	positive	RNF38	152006
hsa-miR-27b	7.29e-19	2.96e-12	positive	RCAN2	10231
hsa-miR-27b	7.29e-19	6.42e-12	positive	ITGA5	3678
hsa-miR-27b	7.29e-19	6.79e-12	positive	CACNB2	783
hsa-miR-27b	7.29e-19	4.2e-11	positive	UBR1	197131
hsa-miR-27b	7.29e-19	1.2e-10	positive	PNISR	25957
hsa-miR-27b	7.29e-19	7.42e-10	positive	SPRY2	10253
hsa-miR-27b	7.29e-19	8.68e-10	positive	LRP6	4040
hsa-miR-27b	7.29e-19	9.18e-10	positive	NRP2	8828
hsa-miR-27b	7.29e-19	1.02e-09	positive	ACVR2A	92
hsa-miR-27b	7.29e-19	1.16e-09	positive	DTNA	1837
hsa-miR-27b	7.29e-19	1.56e-09	positive	SLFN5	162394
hsa-miR-27b	7.29e-19	1.76e-09	positive	KIAA1109	84162
hsa-miR-27b	7.29e-19	1.98e-09	positive	NFAT5	10725
hsa-miR-27b	7.29e-19	2.75e-09	positive	STIM2	57620
hsa-miR-27b	7.29e-19	3.41e-09	positive	USP25	29761
hsa-miR-27b	7.29e-19	3.71e-09	positive	NFIB	4781
hsa-miR-27b	7.29e-19	4.8e-09	positive	FAM172A	83989
hsa-miR-27b	7.29e-19	6.11e-09	positive	HEG1	57493
hsa-miR-27b	7.29e-19	6.66e-09	positive	AFF4	27125
hsa-miR-27b	7.29e-19	7.56e-09	positive	CREBRF	153222
hsa-miR-27b	7.29e-19	8.21e-09	positive	PDE3A	5139
hsa-miR-27b	7.29e-19	1.09e-08	positive	BTG2	7832
hsa-miR-27b	7.29e-19	1.58e-08	positive	NXF1	10482
hsa-miR-27b	7.29e-19	2.63e-08	positive	TRIM23	373
hsa-miR-27b	7.29e-19	3.06e-08	positive	QKI	9444
hsa-miR-27b	7.29e-19	3.92e-08	positive	ISL1	3670
hsa-miR-27b	7.29e-19	4.54e-08	positive	OSBPL10	114884
hsa-miR-27b	7.29e-19	5.7e-08	positive	CCNT2	905
hsa-miR-27b	7.29e-19	7.01e-08	positive	PTPN9	5780
hsa-miR-27b	7.29e-19	9.25e-08	positive	ARMC8	25852
hsa-miR-27b	7.29e-19	9.83e-08	positive	BMI1	648
hsa-miR-27b	7.29e-19	1.2e-07	positive	MAP3K4	4216
hsa-miR-27b	7.29e-19	1.54e-07	positive	FAM184A	79632
hsa-miR-27b	7.29e-19	1.75e-07	positive	ADAMTS5	11096
hsa-miR-27b	7.29e-19	3.16e-07	positive	MAN2A1	4124
hsa-miR-27b	7.29e-19	3.29e-07	positive	WDR7	23335
hsa-miR-27b	7.29e-19	3.88e-07	positive	ID3	3399
hsa-miR-27b	7.29e-19	4.29e-07	positive	INPP1	3628
hsa-miR-27b	7.29e-19	5.04e-07	positive	TROVE2	6738
hsa-miR-27b	7.29e-19	5.04e-07	positive	RCOR3	55758
hsa-miR-27b	7.29e-19	5.23e-07	positive	KIAA1033	23325
hsa-miR-27b	7.29e-19	6.06e-07	positive	TNRC6B	23112
hsa-miR-27b	7.29e-19	7.7e-07	positive	NF1	4763
hsa-miR-27b	7.29e-19	9.43e-07	positive	SEMA6D	80031
hsa-miR-27b	7.29e-19	1.64e-06	positive	RUFY3	22902
hsa-miR-27b	7.29e-19	1.98e-06	positive	USP31	57478
hsa-miR-27b	7.29e-19	2.45e-06	positive	JMJD1C	221037
hsa-miR-27b	7.29e-19	2.94e-06	positive	SOCS6	9306
hsa-miR-27b	7.29e-19	3.03e-06	positive	KITLG	4254
hsa-miR-27b	7.29e-19	3.07e-06	positive	ATXN10	25814
hsa-miR-27b	7.29e-19	3.72e-06	positive	ZNF827	152485
hsa-miR-27b	7.29e-19	4.02e-06	positive	INO80D	54891
hsa-miR-27b	7.29e-19	4.19e-06	positive	STAG1	10274
hsa-miR-27b	7.29e-19	4.9e-06	positive	ARHGAP21	57584
hsa-miR-27b	7.29e-19	5.16e-06	positive	SYT1	6857
hsa-miR-27b	7.29e-19	1.17e-05	positive	SIK1	150094
hsa-miR-27b	7.29e-19	1.22e-05	positive	TAPT1	202018
hsa-miR-27b	7.29e-19	1.29e-05	positive	CDR2	1039
hsa-miR-27b	7.29e-19	1.46e-05	positive	SP1	6667
hsa-miR-27b	7.29e-19	1.62e-05	positive	YWHAB	7529
hsa-miR-27b	7.29e-19	2.24e-05	positive	PIP5K1B	8395
hsa-miR-27b	7.29e-19	2.66e-05	positive	PELI2	57161
hsa-miR-27b	7.29e-19	3.37e-05	positive	GALNT5	11227
hsa-miR-27b	7.29e-19	3.62e-05	positive	GPR125	166647
hsa-miR-27b	7.29e-19	3.87e-05	positive	FGD6	55785
hsa-miR-27b	7.29e-19	3.98e-05	positive	NRK	203447
hsa-miR-27b	7.29e-19	9.49e-05	positive	GFPT2	9945
hsa-miR-27b	7.29e-19	0.000105	positive	WNK1	65125
hsa-miR-27b	7.29e-19	0.000132	positive	PPME1	51400
hsa-miR-27b	7.29e-19	0.000162	positive	NOVA1	4857
hsa-miR-27b	7.29e-19	0.00018	positive	SYNRG	11276
hsa-miR-27b	7.29e-19	0.000201	positive	ZFHX3	463
hsa-miR-27b	7.29e-19	0.000205	positive	AMD1	262
hsa-miR-27b	7.29e-19	0.000209	positive	FN1	2335
hsa-miR-27b	7.29e-19	0.000222	positive	ZBTB44	29068
hsa-miR-27b	7.29e-19	0.000224	positive	RSBN1L	222194
hsa-miR-27b	7.29e-19	0.000267	positive	N4BP1	9683
hsa-miR-27b	7.29e-19	0.000267	positive	ZFAND3	60685
hsa-miR-27b	7.29e-19	0.000271	positive	ZCCHC24	219654
hsa-miR-27b	7.29e-19	0.000369	positive	AGFG1	3267
hsa-miR-27b	7.29e-19	0.000438	positive	NDUFS4	4724
hsa-miR-27b	7.29e-19	0.000499	positive	CPEB4	80315
hsa-miR-27b	7.29e-19	0.000519	positive	CASC3	22794
hsa-miR-27b	7.29e-19	0.000529	positive	TAOK1	57551
hsa-miR-27b	7.29e-19	0.000533	positive	FBXW7	55294
hsa-miR-27b	7.29e-19	0.000615	positive	RAPGEF2	9693
hsa-miR-27b	7.29e-19	0.000626	positive	RLIM	51132
hsa-miR-27b	7.29e-19	0.000685	positive	WEE1	7465
hsa-miR-27b	7.29e-19	0.000826	positive	ZFP36	7538
hsa-miR-27b	7.29e-19	0.00083	positive	CACNA2D3	55799
hsa-miR-27b	7.29e-19	0.000961	positive	GPD2	2820
hsa-miR-27b	7.29e-19	0.00111	positive	RGS1	5996
hsa-miR-27b	7.29e-19	0.00137	positive	C17orf85	55421
hsa-miR-27b	7.29e-19	0.00191	positive	NHS	4810
hsa-miR-27b	7.29e-19	0.00198	positive	NAA50	80218
hsa-miR-27b	7.29e-19	0.00217	positive	FRYL	285527
hsa-miR-27b	7.29e-19	0.00218	positive	TMEM9B	56674
hsa-miR-27b	7.29e-19	0.00229	positive	ITSN2	50618
hsa-miR-27b	7.29e-19	0.00268	positive	ERLEC1	27248
hsa-miR-27b	7.29e-19	0.00268	positive	PAIP2	51247
hsa-miR-27b	7.29e-19	0.00342	positive	KIAA1551	55196
hsa-miR-27b	7.29e-19	0.00366	positive	PSMA1	5682
hsa-miR-27b	7.29e-19	0.00455	positive	PPARA	5465
hsa-miR-27b	7.29e-19	0.00531	positive	USP46	64854
hsa-miR-27b	7.29e-19	0.00546	positive	SUZ12	23512
hsa-miR-221	6.41e-15	2.34e-11	negative	CCDC64	92558
hsa-miR-221	6.41e-15	1.03e-07	negative	ACVR2B	93
hsa-miR-221	6.41e-15	5.83e-07	negative	AMMECR1	9949
hsa-miR-221	6.41e-15	5.88e-06	negative	SBK1	388228
hsa-miR-221	6.41e-15	1.25e-05	negative	WSB2	55884
hsa-miR-221	6.41e-15	2.16e-05	negative	AP3B2	8120
hsa-miR-221	6.41e-15	3.5e-05	negative	LPPR1	54886
hsa-miR-221	6.41e-15	4.61e-05	negative	CDK19	23097
hsa-miR-221	6.41e-15	0.00015	negative	EMX2	2018
hsa-miR-221	6.41e-15	0.000239	negative	BMF	90427
hsa-miR-221	6.41e-15	0.000344	negative	KIAA1549L	25758
hsa-miR-221	6.41e-15	0.000392	negative	DNAJC14	85406
hsa-miR-221	6.41e-15	0.000747	negative	PCDHAC1	56135
hsa-miR-221	6.41e-15	0.000957	negative	MPC2	25874
hsa-miR-221	6.41e-15	0.00108	negative	GALNTL4	374378
hsa-miR-221	6.41e-15	0.0012	negative	RGS6	9628
hsa-miR-221	6.41e-15	0.00144	negative	LRFN2	57497
hsa-miR-221	6.41e-15	0.00169	negative	KRT81	3887
hsa-miR-221	6.41e-15	0.00174	negative	DCAF12	25853
hsa-miR-221	6.41e-15	0.00238	negative	YWHAG	7532
hsa-miR-221	6.41e-15	0.00264	negative	ZSWIM4	65249
hsa-miR-221	6.41e-15	0.00308	negative	MAP3K10	4294
hsa-miR-221	6.41e-15	0.00335	negative	GRM1	2911
hsa-miR-221	6.41e-15	0.00406	negative	SOX10	6663
hsa-miR-221	6.41e-15	0.00484	negative	DMRT3	58524
hsa-miR-221	6.41e-15	0.00492	negative	ADAM11	4185
hsa-miR-221	6.41e-15	1.61e-18	positive	ADAM22	53616
hsa-miR-221	6.41e-15	3.9e-18	positive	HECTD2	143279
hsa-miR-221	6.41e-15	1.47e-17	positive	TRPS1	7227
hsa-miR-221	6.41e-15	3.57e-16	positive	C16orf45	89927
hsa-miR-221	6.41e-15	4.91e-15	positive	ANGPTL2	23452
hsa-miR-221	6.41e-15	4.04e-14	positive	ETS2	2114
hsa-miR-221	6.41e-15	1.38e-12	positive	DCUN1D4	23142
hsa-miR-221	6.41e-15	5.1e-12	positive	FKBP9	11328
hsa-miR-221	6.41e-15	1.23e-11	positive	CYR61	3491
hsa-miR-221	6.41e-15	1.68e-11	positive	GNAI2	2771
hsa-miR-221	6.41e-15	4.06e-11	positive	ATP1B1	481
hsa-miR-221	6.41e-15	4.58e-11	positive	CLVS2	134829
hsa-miR-221	6.41e-15	6.2e-11	positive	PRDM2	7799
hsa-miR-221	6.41e-15	9.29e-11	positive	NEFH	4744
hsa-miR-221	6.41e-15	1.23e-10	positive	PLEKHA2	59339
hsa-miR-221	6.41e-15	2.86e-10	positive	QKI	9444
hsa-miR-221	6.41e-15	3.89e-10	positive	ATXN1	6310
hsa-miR-221	6.41e-15	8.05e-10	positive	ITGB8	3696
hsa-miR-221	6.41e-15	1.03e-09	positive	ZEB2	9839
hsa-miR-221	6.41e-15	1.63e-09	positive	SLC40A1	30061
hsa-miR-221	6.41e-15	2.77e-08	positive	NAP1L5	266812
hsa-miR-221	6.41e-15	4.1e-08	positive	FOS	2353
hsa-miR-221	6.41e-15	7.09e-08	positive	ZNF25	219749
hsa-miR-221	6.41e-15	1.06e-07	positive	EPB41L1	2036
hsa-miR-221	6.41e-15	3.77e-07	positive	WDR47	22911
hsa-miR-221	6.41e-15	1.19e-06	positive	TCF7L2	6934
hsa-miR-221	6.41e-15	3.29e-06	positive	KDR	3791
hsa-miR-221	6.41e-15	9.45e-06	positive	NOVA1	4857
hsa-miR-221	6.41e-15	1.23e-05	positive	PAK1	5058
hsa-miR-221	6.41e-15	1.42e-05	positive	CPNE8	144402
hsa-miR-221	6.41e-15	1.51e-05	positive	MAPK10	5602
hsa-miR-221	6.41e-15	1.76e-05	positive	RBM24	221662
hsa-miR-221	6.41e-15	2.42e-05	positive	THBS1	7057
hsa-miR-221	6.41e-15	3.09e-05	positive	KANSL1	284058
hsa-miR-221	6.41e-15	8.16e-05	positive	DPP8	54878
hsa-miR-221	6.41e-15	8.68e-05	positive	PTCHD1	139411
hsa-miR-221	6.41e-15	8.82e-05	positive	PRKRA	8575
hsa-miR-221	6.41e-15	0.000138	positive	NSMCE4A	54780
hsa-miR-221	6.41e-15	0.00016	positive	HIPK1	204851
hsa-miR-221	6.41e-15	0.000184	positive	KDSR	2531
hsa-miR-221	6.41e-15	0.000514	positive	SMARCA5	8467
hsa-miR-221	6.41e-15	0.000997	positive	SLAIN2	57606
hsa-miR-221	6.41e-15	0.00111	positive	ETS1	2113
hsa-miR-221	6.41e-15	0.00119	positive	KSR1	8844
hsa-miR-221	6.41e-15	0.00132	positive	NFYB	4801
hsa-miR-221	6.41e-15	0.00145	positive	ATP1A1	476
hsa-miR-221	6.41e-15	0.0017	positive	FMR1	2332
hsa-miR-221	6.41e-15	0.00256	positive	SLC2A13	114134
hsa-miR-221	6.41e-15	0.00264	positive	CDKN1B	1027
hsa-miR-221	6.41e-15	0.00321	positive	ARF1	375
hsa-miR-221	6.41e-15	0.00333	positive	NTF3	4908
hsa-miR-221	6.41e-15	0.00351	positive	BMI1	648
hsa-miR-221	6.41e-15	0.00358	positive	SEC24B	10427
hsa-miR-93	4.18e-13	1.92e-25	negative	TNS1	7145
hsa-miR-93	4.18e-13	9.93e-25	negative	CCND2	894
hsa-miR-93	4.18e-13	3.28e-24	negative	CNN1	1264
hsa-miR-93	4.18e-13	9.93e-23	negative	TSHZ3	57616
hsa-miR-93	4.18e-13	1.14e-21	negative	NAV2	89797
hsa-miR-93	4.18e-13	2.67e-20	negative	FRMD6	122786
hsa-miR-93	4.18e-13	1.85e-19	negative	HLF	3131
hsa-miR-93	4.18e-13	5.16e-19	negative	PRRX1	5396
hsa-miR-93	4.18e-13	2.26e-18	negative	RND3	390
hsa-miR-93	4.18e-13	3.16e-16	negative	CRIM1	51232
hsa-miR-93	4.18e-13	6.86e-16	negative	ACSL4	2182
hsa-miR-93	4.18e-13	1.11e-15	negative	PDGFRA	5156
hsa-miR-93	4.18e-13	8.52e-15	negative	SYTL4	94121
hsa-miR-93	4.18e-13	1.08e-14	negative	NRP2	8828
hsa-miR-93	4.18e-13	1.61e-14	negative	CLIP4	79745
hsa-miR-93	4.18e-13	2.31e-14	negative	MMP2	4313
hsa-miR-93	4.18e-13	2.54e-14	negative	KCNMA1	3778
hsa-miR-93	4.18e-13	5.56e-14	negative	KCNJ8	3764
hsa-miR-93	4.18e-13	1.26e-13	negative	B3GALT2	8707
hsa-miR-93	4.18e-13	4.15e-13	negative	TCF7L1	83439
hsa-miR-93	4.18e-13	5.36e-13	negative	CFL2	1073
hsa-miR-93	4.18e-13	8.6e-13	negative	PTGFRN	5738
hsa-miR-93	4.18e-13	1.1e-12	negative	TCF4	6925
hsa-miR-93	4.18e-13	1.83e-12	negative	SLC46A3	283537
hsa-miR-93	4.18e-13	2.19e-12	negative	PAM	5066
hsa-miR-93	4.18e-13	5.61e-12	negative	HEG1	57493
hsa-miR-93	4.18e-13	7.09e-12	negative	TRPS1	7227
hsa-miR-93	4.18e-13	3.49e-11	negative	SMOC1	64093
hsa-miR-93	4.18e-13	4.51e-11	negative	TACC1	6867
hsa-miR-93	4.18e-13	9.97e-11	negative	SAMD12	401474
hsa-miR-93	4.18e-13	1.22e-10	negative	GLIS3	169792
hsa-miR-93	4.18e-13	1.26e-10	negative	LUZP1	7798
hsa-miR-93	4.18e-13	3.11e-10	negative	GNB5	10681
hsa-miR-93	4.18e-13	3.65e-10	negative	PLEKHO2	80301
hsa-miR-93	4.18e-13	4.05e-10	negative	ZMAT3	64393
hsa-miR-93	4.18e-13	5.92e-10	negative	SH3PXD2A	9644
hsa-miR-93	4.18e-13	7.08e-10	negative	SIK1	150094
hsa-miR-93	4.18e-13	7.46e-10	negative	FOXF1	2294
hsa-miR-93	4.18e-13	8.45e-10	negative	RAB12	201475
hsa-miR-93	4.18e-13	1.42e-09	negative	PRRG4	79056
hsa-miR-93	4.18e-13	1.44e-09	negative	FAT2	2196
hsa-miR-93	4.18e-13	1.74e-09	negative	ARL4C	10123
hsa-miR-93	4.18e-13	3.26e-09	negative	AHNAK	79026
hsa-miR-93	4.18e-13	5.54e-09	negative	PFKP	5214
hsa-miR-93	4.18e-13	8.42e-09	negative	AJUBA	84962
hsa-miR-93	4.18e-13	9.25e-09	negative	BNIP3L	665
hsa-miR-93	4.18e-13	1.16e-08	negative	PIK3R1	5295
hsa-miR-93	4.18e-13	2.05e-08	negative	JAK1	3716
hsa-miR-93	4.18e-13	4.11e-08	negative	PHF1	5252
hsa-miR-93	4.18e-13	4.25e-08	negative	QKI	9444
hsa-miR-93	4.18e-13	4.33e-08	negative	NTN4	59277
hsa-miR-93	4.18e-13	1e-07	negative	EZH1	2145
hsa-miR-93	4.18e-13	1.49e-07	negative	VEGFA	7422
hsa-miR-93	4.18e-13	2.21e-07	negative	ATXN1	6310
hsa-miR-93	4.18e-13	5.41e-07	negative	EPHA4	2043
hsa-miR-93	4.18e-13	6.59e-07	negative	NR4A3	8013
hsa-miR-93	4.18e-13	1.09e-06	negative	PPARA	5465
hsa-miR-93	4.18e-13	1.29e-06	negative	MID1	4281
hsa-miR-93	4.18e-13	1.38e-06	negative	APCDD1	147495
hsa-miR-93	4.18e-13	1.57e-06	negative	APBB2	323
hsa-miR-93	4.18e-13	1.62e-06	negative	SLC40A1	30061
hsa-miR-93	4.18e-13	5.23e-06	negative	CHD9	80205
hsa-miR-93	4.18e-13	5.63e-06	negative	CRY2	1408
hsa-miR-93	4.18e-13	7.27e-06	negative	SLC16A9	220963
hsa-miR-93	4.18e-13	7.83e-06	negative	CEP120	153241
hsa-miR-93	4.18e-13	1.18e-05	negative	PPARD	5467
hsa-miR-93	4.18e-13	2.27e-05	negative	PLEKHM1	9842
hsa-miR-93	4.18e-13	2.76e-05	negative	KAT2B	8850
hsa-miR-93	4.18e-13	3.67e-05	negative	PIP4K2A	5305
hsa-miR-93	4.18e-13	4.65e-05	negative	SORL1	6653
hsa-miR-93	4.18e-13	5.09e-05	negative	BICD2	23299
hsa-miR-93	4.18e-13	5.84e-05	negative	SSX2IP	117178
hsa-miR-93	4.18e-13	6.15e-05	negative	LASP1	3927
hsa-miR-93	4.18e-13	6.19e-05	negative	LDLR	3949
hsa-miR-93	4.18e-13	6.31e-05	negative	FOXJ2	55810
hsa-miR-93	4.18e-13	7.14e-05	negative	ARHGEF10	9639
hsa-miR-93	4.18e-13	8.26e-05	negative	NAGK	55577
hsa-miR-93	4.18e-13	0.000108	negative	DCUN1D3	123879
hsa-miR-93	4.18e-13	0.000113	negative	FRMD4B	23150
hsa-miR-93	4.18e-13	0.000114	negative	PKD2	5311
hsa-miR-93	4.18e-13	0.000115	negative	NPAS2	4862
hsa-miR-93	4.18e-13	0.000122	negative	CREBRF	153222
hsa-miR-93	4.18e-13	0.000193	negative	IRF1	3659
hsa-miR-93	4.18e-13	0.000208	negative	HAS2	3037
hsa-miR-93	4.18e-13	0.000267	negative	TLE4	7091
hsa-miR-93	4.18e-13	0.000288	negative	MAP3K14	9020
hsa-miR-93	4.18e-13	0.000301	negative	TMUB2	79089
hsa-miR-93	4.18e-13	0.00032	negative	PRRG1	5638
hsa-miR-93	4.18e-13	0.000354	negative	DNAJB6	10049
hsa-miR-93	4.18e-13	0.000382	negative	TBX3	6926
hsa-miR-93	4.18e-13	0.000565	negative	ZBTB47	92999
hsa-miR-93	4.18e-13	0.000623	negative	PLAG1	5324
hsa-miR-93	4.18e-13	0.000649	negative	SMAD7	4092
hsa-miR-93	4.18e-13	0.000758	negative	GAB1	2549
hsa-miR-93	4.18e-13	0.000854	negative	ZFYVE26	23503
hsa-miR-93	4.18e-13	0.000905	negative	PAFAH1B1	5048
hsa-miR-93	4.18e-13	0.000985	negative	SLITRK3	22865
hsa-miR-93	4.18e-13	0.00109	negative	SQSTM1	8878
hsa-miR-93	4.18e-13	0.0012	negative	SNX9	51429
hsa-miR-93	4.18e-13	0.00165	negative	MAP3K3	4215
hsa-miR-93	4.18e-13	0.00184	negative	FGD5	152273
hsa-miR-93	4.18e-13	0.00213	negative	DNAJC27	51277
hsa-miR-93	4.18e-13	0.00266	negative	ZHX2	22882
hsa-miR-93	4.18e-13	0.00275	negative	EPHB4	2050
hsa-miR-93	4.18e-13	0.00282	negative	MAP3K12	7786
hsa-miR-93	4.18e-13	0.00291	negative	RAP2C	57826
hsa-miR-93	4.18e-13	1.01e-15	positive	E2F5	1875
hsa-miR-93	4.18e-13	7.57e-13	positive	TP53INP1	94241
hsa-miR-93	4.18e-13	2.35e-09	positive	UBFD1	56061
hsa-miR-93	4.18e-13	3.42e-09	positive	CIT	11113
hsa-miR-93	4.18e-13	8.81e-09	positive	E2F3	1871
hsa-miR-93	4.18e-13	1.94e-08	positive	RAPGEF5	9771
hsa-miR-93	4.18e-13	5.75e-08	positive	KPNA2	3838
hsa-miR-93	4.18e-13	6.62e-08	positive	RAD23B	5887
hsa-miR-93	4.18e-13	7.59e-08	positive	ELAVL2	1993
hsa-miR-93	4.18e-13	3.07e-07	positive	SLC29A2	3177
