Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
2200	FBN1	3.63e-10	1.73e-05	positive	hsa-miR-29a
2200	FBN1	3.63e-10	0.00396	positive	hsa-miR-140-5p
79780	CCDC82	3.94e-10	7.93e-10	positive	hsa-miR-23b
79780	CCDC82	3.94e-10	1.29e-08	positive	hsa-miR-23a
26030	PLEKHG3	4e-10	4.27e-10	negative	hsa-miR-182
26030	PLEKHG3	4e-10	0.000836	negative	hsa-miR-203
26030	PLEKHG3	4e-10	0.00325	negative	hsa-miR-140-5p
51134	CCDC41	4.12e-10	4.12e-10	positive	hsa-miR-182
5516	PPP2CB	4.28e-10	1.47e-11	positive	hsa-miR-455-3p
5516	PPP2CB	4.28e-10	0.000175	positive	hsa-miR-214
22838	RNF44	4.35e-10	3.55e-08	negative	hsa-miR-152
22838	RNF44	4.35e-10	3.59e-08	negative	hsa-miR-374b
22838	RNF44	4.35e-10	8.42e-07	negative	hsa-miR-365
54776	PPP1R12C	4.49e-10	3.14e-14	negative	hsa-miR-96
54776	PPP1R12C	4.49e-10	0.000199	negative	hsa-miR-363
54776	PPP1R12C	4.49e-10	4.42e-05	positive	hsa-miR-92b
4212	MEIS2	4.95e-10	8.66e-07	negative	hsa-miR-194
4212	MEIS2	4.95e-10	2.12e-05	positive	hsa-miR-22
23036	ZNF292	5.16e-10	2.6e-11	positive	hsa-miR-23b
23036	ZNF292	5.16e-10	4.55e-07	positive	hsa-miR-135a
23036	ZNF292	5.16e-10	1.02e-05	positive	hsa-miR-23a
8491	MAP4K3	5.64e-10	2.68e-09	positive	hsa-let-7f
8491	MAP4K3	5.64e-10	2.75e-09	positive	hsa-miR-98
8491	MAP4K3	5.64e-10	0.00124	positive	hsa-miR-19a
51455	REV1	5.64e-10	5.84e-08	negative	hsa-miR-548c-3p
51455	REV1	5.64e-10	7.01e-05	negative	hsa-miR-30d
51455	REV1	5.64e-10	4.1e-12	positive	hsa-miR-30c
51455	REV1	5.64e-10	4.88e-07	positive	hsa-miR-582-5p
51455	REV1	5.64e-10	4.08e-06	positive	hsa-miR-30e
