Target (Entrez)	Target (Gene Symbol)	P-value (global)	P-value (local)	Association	microRNA
6804	STX1A	8.42e-07	6.18e-06	negative	hsa-miR-29c
6804	STX1A	8.42e-07	1.35e-05	negative	hsa-miR-497
6804	STX1A	8.42e-07	0.000758	negative	hsa-miR-29a
3097	HIVEP2	8.44e-07	2.1e-07	positive	hsa-miR-374a
23266	LPHN2	8.85e-07	2.93e-06	negative	hsa-miR-182
23266	LPHN2	8.85e-07	3.75e-05	positive	hsa-miR-195
23266	LPHN2	8.85e-07	0.000387	positive	hsa-miR-424
5332	PLCB4	8.88e-07	6.55e-07	positive	hsa-miR-96
9860	LRIG2	8.9e-07	1.51e-07	positive	hsa-let-7e
9860	LRIG2	8.9e-07	9.5e-07	positive	hsa-let-7g
9860	LRIG2	8.9e-07	1.02e-06	positive	hsa-let-7d
9860	LRIG2	8.9e-07	3.86e-06	positive	hsa-let-7f
9860	LRIG2	8.9e-07	4.27e-06	positive	hsa-miR-98
9860	LRIG2	8.9e-07	7.45e-06	positive	hsa-let-7a
9860	LRIG2	8.9e-07	9.89e-05	positive	hsa-let-7c
9860	LRIG2	8.9e-07	0.000324	positive	hsa-let-7i
51247	PAIP2	9.03e-07	1.9e-06	positive	hsa-miR-200b
51247	PAIP2	9.03e-07	2.92e-05	positive	hsa-miR-29c
51247	PAIP2	9.03e-07	3.74e-05	positive	hsa-miR-29b
50999	TMED5	9.5e-07	9.5e-07	positive	hsa-miR-374a
148641	SLC35F3	9.64e-07	7.1e-07	negative	hsa-miR-27b
148641	SLC35F3	9.64e-07	9.79e-05	positive	hsa-miR-659
51088	KLHL5	9.79e-07	9.79e-07	positive	hsa-miR-495
64326	RFWD2	1.01e-06	7.97e-08	positive	hsa-miR-16
64326	RFWD2	1.01e-06	1.89e-05	positive	hsa-miR-15a
64326	RFWD2	1.01e-06	0.000642	positive	hsa-miR-497
64326	RFWD2	1.01e-06	0.000755	positive	hsa-miR-15b
9931	HELZ	1.02e-06	4.76e-08	positive	hsa-miR-16
9931	HELZ	1.02e-06	4.85e-08	positive	hsa-miR-30c
9931	HELZ	1.02e-06	2.96e-05	positive	hsa-miR-30b
8897	MTMR3	1.02e-06	4.31e-07	positive	hsa-miR-100
10746	MAP3K2	1.07e-06	1.07e-06	positive	hsa-miR-26b
79026	AHNAK	1.11e-06	4.76e-08	negative	hsa-miR-106b
79026	AHNAK	1.11e-06	0.00925	positive	hsa-miR-362-3p
9755	TBKBP1	1.11e-06	1.11e-06	negative	hsa-let-7g
9768	KIAA0101	1.13e-06	2.15e-05	positive	hsa-miR-548c-3p
9768	KIAA0101	1.13e-06	0.000266	positive	hsa-miR-183
121268	RHEBL1	1.17e-06	1.17e-06	negative	hsa-miR-30c
6643	SNX2	1.2e-06	2.83e-06	positive	hsa-miR-1
6643	SNX2	1.2e-06	0.000882	positive	hsa-miR-454
6643	SNX2	1.2e-06	0.00216	positive	hsa-miR-301a
4775	NFATC3	1.2e-06	2.31e-07	positive	hsa-miR-195
4775	NFATC3	1.2e-06	0.00121	positive	hsa-miR-15a
90379	DCAF15	1.26e-06	1.87e-07	negative	hsa-let-7a
90379	DCAF15	1.26e-06	3.85e-07	negative	hsa-let-7g
90379	DCAF15	1.26e-06	2.78e-06	negative	hsa-let-7d
90379	DCAF15	1.26e-06	3.59e-05	negative	hsa-let-7c
90379	DCAF15	1.26e-06	0.000176	negative	hsa-let-7i
90379	DCAF15	1.26e-06	0.00019	negative	hsa-let-7e
4661	MYT1	1.43e-06	9.46e-08	negative	hsa-miR-125b
84445	LZTS2	1.44e-06	1.44e-06	positive	hsa-miR-381
6877	TAF5	1.44e-06	1.44e-06	negative	hsa-miR-34a
8473	OGT	1.46e-06	1.46e-06	positive	hsa-miR-107
6764	ST5	1.51e-06	0.000281	negative	hsa-miR-486-5p
6764	ST5	1.51e-06	1.15e-11	positive	hsa-miR-99b
6764	ST5	1.51e-06	3.18e-07	positive	hsa-miR-100
57616	TSHZ3	1.57e-06	1.88e-05	negative	hsa-miR-20a
57616	TSHZ3	1.57e-06	3.27e-05	negative	hsa-miR-17
57616	TSHZ3	1.57e-06	0.000538	negative	hsa-miR-106a
57616	TSHZ3	1.57e-06	8.28e-13	positive	hsa-miR-455-5p
4774	NFIA	1.59e-06	5.18e-06	negative	hsa-miR-25
4774	NFIA	1.59e-06	5.44e-10	positive	hsa-miR-29a
4774	NFIA	1.59e-06	5.88e-08	positive	hsa-miR-29b
4774	NFIA	1.59e-06	4.12e-05	positive	hsa-miR-29c
4774	NFIA	1.59e-06	0.000257	positive	hsa-miR-363
115548	FCHO2	1.61e-06	1.61e-06	negative	hsa-miR-636
70	ACTC1	1.66e-06	2.86e-11	negative	hsa-miR-32
70	ACTC1	1.66e-06	8.93e-05	negative	hsa-miR-30d
5013	OTX1	1.7e-06	1.93e-07	negative	hsa-miR-195
5013	OTX1	1.7e-06	1.64e-05	positive	hsa-miR-198
4034	LRCH4	1.74e-06	1.74e-06	positive	hsa-miR-296-5p
80013	FAM188A	1.77e-06	2.13e-05	positive	hsa-miR-199b-5p
80013	FAM188A	1.77e-06	2.59e-05	positive	hsa-miR-582-5p
8816	DCAF5	1.79e-06	8.44e-07	positive	hsa-miR-455-5p
57478	USP31	1.83e-06	0.0029	negative	hsa-miR-659
57478	USP31	1.83e-06	1.78e-06	positive	hsa-miR-27a
57478	USP31	1.83e-06	1.98e-06	positive	hsa-miR-27b
152273	FGD5	1.84e-06	4.71e-07	negative	hsa-miR-17
152273	FGD5	1.84e-06	0.000109	negative	hsa-miR-106a
152273	FGD5	1.84e-06	0.00184	negative	hsa-miR-93
8448	DOC2A	1.88e-06	7.93e-07	negative	hsa-miR-30c
8448	DOC2A	1.88e-06	0.00176	negative	hsa-miR-30b
8448	DOC2A	1.88e-06	0.006	positive	hsa-miR-940
5066	PAM	1.89e-06	2.19e-12	negative	hsa-miR-93
5066	PAM	1.89e-06	2.4e-05	negative	hsa-miR-200c
23411	SIRT1	1.93e-06	5.57e-06	positive	hsa-miR-199b-5p
23411	SIRT1	1.93e-06	6.96e-05	positive	hsa-miR-132
1592	CYP26A1	1.93e-06	1.93e-06	negative	hsa-miR-374a
10285	SMNDC1	1.94e-06	1.94e-06	positive	hsa-miR-143
5887	RAD23B	2.03e-06	2.03e-06	negative	hsa-miR-452
199731	CADM4	2.03e-06	2.52e-06	negative	hsa-miR-425
199731	CADM4	2.03e-06	0.000863	negative	hsa-miR-342-5p
8646	CHRD	2.03e-06	3.22e-05	negative	hsa-let-7e
8646	CHRD	2.03e-06	0.000137	negative	hsa-let-7d
8646	CHRD	2.03e-06	0.000979	negative	hsa-let-7f
8646	CHRD	2.03e-06	0.00154	negative	hsa-let-7c
8646	CHRD	2.03e-06	1.98e-05	positive	hsa-miR-575
8646	CHRD	2.03e-06	3.97e-05	positive	hsa-miR-548c-3p
79668	PARP8	2.17e-06	0.00719	negative	hsa-miR-28-3p
79668	PARP8	2.17e-06	1.12e-07	positive	hsa-miR-374b
4223	MEOX2	2.22e-06	3.18e-06	negative	hsa-miR-15a
4223	MEOX2	2.22e-06	0.00614	negative	hsa-miR-152
4233	MET	2.28e-06	5.33e-06	negative	hsa-miR-130b
4233	MET	2.28e-06	1.2e-05	positive	hsa-miR-130a
8844	KSR1	2.41e-06	2.41e-06	positive	hsa-miR-222
22807	IKZF2	2.43e-06	2.11e-07	positive	hsa-miR-30c
22807	IKZF2	2.43e-06	0.00275	positive	hsa-miR-30b
22807	IKZF2	2.43e-06	0.00979	positive	hsa-miR-505
66000	TMEM108	2.44e-06	2.44e-06	negative	hsa-miR-374a
3619	INCENP	2.49e-06	2.49e-06	negative	hsa-miR-214
56848	SPHK2	2.56e-06	7.25e-06	negative	hsa-miR-130a
56848	SPHK2	2.56e-06	0.000533	positive	hsa-miR-130b
6560	SLC12A4	2.57e-06	2.57e-06	negative	hsa-miR-769-5p
2339	FNTA	2.6e-06	2.2e-06	positive	hsa-miR-16
2339	FNTA	2.6e-06	0.000854	positive	hsa-miR-15b
80179	MYO19	2.64e-06	2.64e-06	positive	hsa-miR-182
2182	ACSL4	2.8e-06	2.8e-06	positive	hsa-miR-34a
54822	TRPM7	2.81e-06	4.1e-07	positive	hsa-miR-135a
54822	TRPM7	2.81e-06	0.00175	positive	hsa-miR-21
9618	TRAF4	2.88e-06	2.88e-06	positive	hsa-miR-548c-3p
23528	ZNF281	2.95e-06	0.000383	negative	hsa-miR-34a
23528	ZNF281	2.95e-06	0.000106	positive	hsa-miR-188-5p
23528	ZNF281	2.95e-06	0.000122	positive	hsa-miR-548c-3p
5980	REV3L	3e-06	1.19e-07	positive	hsa-miR-365
5980	REV3L	3e-06	5.93e-07	positive	hsa-miR-29b
25814	ATXN10	3.07e-06	3.07e-06	positive	hsa-miR-27b
80205	CHD9	3.08e-06	1.57e-05	negative	hsa-miR-141
80205	CHD9	3.08e-06	1.34e-05	positive	hsa-miR-200a
29066	ZC3H7A	3.1e-06	3.1e-06	negative	hsa-miR-494
54870	QRICH1	3.14e-06	3.14e-06	negative	hsa-miR-636
9828	ARHGEF17	3.22e-06	2.27e-11	negative	hsa-miR-32
9828	ARHGEF17	3.22e-06	1.22e-08	positive	hsa-miR-152
9828	ARHGEF17	3.22e-06	0.00325	positive	hsa-miR-92b
57661	PHRF1	3.24e-06	3.24e-06	negative	hsa-miR-374a
8439	NSMAF	3.29e-06	0.00123	negative	hsa-miR-92b
8439	NSMAF	3.29e-06	2.76e-05	positive	hsa-miR-363
8439	NSMAF	3.29e-06	0.000611	positive	hsa-miR-25
9874	TLK1	3.41e-06	3.41e-06	positive	hsa-miR-107
146057	TTBK2	3.42e-06	3.42e-06	negative	hsa-miR-141
9943	OXSR1	3.53e-06	3.53e-06	positive	hsa-miR-200a
27020	NPTN	3.56e-06	4.3e-07	negative	hsa-miR-32
27020	NPTN	3.56e-06	0.000438	negative	hsa-miR-148b
27020	NPTN	3.56e-06	6.17e-14	positive	hsa-miR-152
6738	TROVE2	3.61e-06	3.61e-06	negative	hsa-miR-601
3614	IMPDH1	3.63e-06	1.56e-05	negative	hsa-miR-28-5p
7072	TIA1	3.63e-06	7.94e-09	positive	hsa-miR-30c
7072	TIA1	3.63e-06	0.00443	positive	hsa-miR-23a
10253	SPRY2	3.97e-06	1.39e-07	positive	hsa-miR-27a
766	CA7	4.04e-06	0.000224	positive	hsa-miR-491-5p
766	CA7	4.04e-06	0.000269	positive	hsa-miR-671-5p
23469	PHF3	4.23e-06	2.14e-05	positive	hsa-miR-582-5p
23469	PHF3	4.23e-06	0.000231	positive	hsa-miR-130a
7786	MAP3K12	4.23e-06	4.64e-07	negative	hsa-miR-19a
7786	MAP3K12	4.23e-06	6.7e-07	negative	hsa-miR-30b
7786	MAP3K12	4.23e-06	8.77e-07	negative	hsa-miR-30e
83759	RBM4B	4.24e-06	4.24e-06	negative	hsa-miR-494
773	CACNA1A	4.24e-06	4.34e-06	negative	hsa-miR-27b
773	CACNA1A	4.24e-06	0.00525	negative	hsa-miR-27a
773	CACNA1A	4.24e-06	0.000209	positive	hsa-miR-498
8725	URI1	4.31e-06	6.69e-06	positive	hsa-miR-20a
8725	URI1	4.31e-06	9.56e-06	positive	hsa-miR-17
8725	URI1	4.31e-06	0.00105	positive	hsa-miR-93
3696	ITGB8	4.4e-06	5.38e-06	negative	hsa-miR-106b
3696	ITGB8	4.4e-06	0.00115	negative	hsa-miR-371-5p
55257	C20orf20	4.42e-06	4.42e-06	negative	hsa-miR-101
23562	CLDN14	4.5e-06	4.05e-06	negative	hsa-miR-374b
23562	CLDN14	4.5e-06	6.73e-06	negative	hsa-miR-374a
55200	PLEKHG6	4.61e-06	4.13e-06	negative	hsa-let-7e
55200	PLEKHG6	4.61e-06	6.95e-06	negative	hsa-let-7g
55200	PLEKHG6	4.61e-06	8e-06	negative	hsa-let-7d
55200	PLEKHG6	4.61e-06	1.39e-05	negative	hsa-let-7f
55200	PLEKHG6	4.61e-06	2.91e-05	negative	hsa-miR-98
55200	PLEKHG6	4.61e-06	3.09e-05	negative	hsa-let-7c
55200	PLEKHG6	4.61e-06	0.000251	negative	hsa-let-7i
54862	CC2D1A	4.76e-06	7.8e-08	negative	hsa-miR-20a
54862	CC2D1A	4.76e-06	8.79e-08	negative	hsa-miR-20b
54862	CC2D1A	4.76e-06	8.63e-07	negative	hsa-miR-17
54862	CC2D1A	4.76e-06	0.00627	negative	hsa-miR-106a
54862	CC2D1A	4.76e-06	0.00285	positive	hsa-miR-636
8637	EIF4EBP3	4.76e-06	6.35e-06	positive	hsa-miR-601
9028	RHBDL1	4.78e-06	4.78e-06	negative	hsa-miR-24
9858	PPP1R26	4.82e-06	4.82e-06	positive	hsa-miR-548c-3p
783	CACNB2	4.83e-06	0.00147	negative	hsa-miR-30d
783	CACNB2	4.83e-06	5.82e-05	positive	hsa-miR-499-5p
3216	HOXB6	4.85e-06	0.00381	negative	hsa-miR-376c
3216	HOXB6	4.85e-06	4.28e-06	positive	hsa-miR-198
50488	MINK1	4.89e-06	3.18e-06	negative	hsa-miR-17
50488	MINK1	4.89e-06	7.24e-06	negative	hsa-miR-20a
50488	MINK1	4.89e-06	0.0031	negative	hsa-miR-106a
57531	HACE1	5e-06	5e-06	positive	hsa-miR-1
109	ADCY3	5.15e-06	3.59e-08	negative	hsa-miR-25
55023	PHIP	5.18e-06	9.32e-07	positive	hsa-miR-16
55023	PHIP	5.18e-06	1.61e-06	positive	hsa-miR-195
55023	PHIP	5.18e-06	0.00011	positive	hsa-miR-15a
55023	PHIP	5.18e-06	0.00451	positive	hsa-miR-497
79607	FAM118B	5.26e-06	5.1e-06	positive	hsa-miR-429
79607	FAM118B	5.26e-06	8.84e-06	positive	hsa-miR-200b
3482	IGF2R	5.35e-06	5.35e-06	positive	hsa-miR-143
22865	SLITRK3	5.57e-06	5.57e-06	negative	hsa-miR-183
55435	AP1AR	5.59e-06	5.59e-06	positive	hsa-miR-25
55291	PPP6R3	5.63e-06	5.72e-07	negative	hsa-miR-188-5p
2908	NR3C1	5.65e-06	5.65e-06	positive	hsa-miR-200a
10472	ZNF238	5.73e-06	1.06e-06	negative	hsa-miR-455-3p
10472	ZNF238	5.73e-06	8.77e-06	negative	hsa-miR-338-3p
27131	SNX5	5.78e-06	6.75e-06	positive	hsa-miR-454
5214	PFKP	5.92e-06	1.7e-07	negative	hsa-miR-17
5214	PFKP	5.92e-06	2.95e-07	negative	hsa-miR-106b
5214	PFKP	5.92e-06	1.22e-05	negative	hsa-miR-20a
5214	PFKP	5.92e-06	1.42e-05	negative	hsa-miR-106a
5214	PFKP	5.92e-06	0.000103	negative	hsa-miR-20b
5214	PFKP	5.92e-06	0.000868	negative	hsa-miR-512-3p
200186	CRTC2	6.02e-06	4.29e-05	negative	hsa-miR-374b
200186	CRTC2	6.02e-06	0.000164	negative	hsa-miR-374a
200186	CRTC2	6.02e-06	0.00248	negative	hsa-miR-149
57731	SPTBN4	6.48e-06	1.36e-06	positive	hsa-miR-760
57731	SPTBN4	6.48e-06	0.000114	positive	hsa-miR-765
10250	SRRM1	6.6e-06	6.6e-06	positive	hsa-miR-199b-5p
55030	FBXO34	6.81e-06	5.27e-07	positive	hsa-miR-30c
51111	SUV420H1	7.02e-06	4.99e-06	negative	hsa-miR-345
54567	DLL4	7.17e-06	1.26e-06	negative	hsa-miR-16
54567	DLL4	7.17e-06	2.82e-05	negative	hsa-miR-30e
2665	GDI2	7.17e-06	6.34e-07	positive	hsa-miR-200b
2665	GDI2	7.17e-06	7.31e-05	positive	hsa-miR-429
3642	INSM1	7.21e-06	7.21e-06	negative	hsa-miR-100
10521	DDX17	7.3e-06	4.8e-06	positive	hsa-miR-34a
10521	DDX17	7.3e-06	1.31e-05	positive	hsa-miR-1
9355	LHX2	7.43e-06	7.43e-06	negative	hsa-miR-455-3p
170692	ADAMTS18	7.58e-06	4.41e-05	negative	hsa-miR-16
170692	ADAMTS18	7.58e-06	0.000387	negative	hsa-miR-29c
200942	KLHDC8B	7.67e-06	5.22e-06	negative	hsa-let-7d
200942	KLHDC8B	7.67e-06	1.05e-05	negative	hsa-let-7g
200942	KLHDC8B	7.67e-06	1.41e-05	negative	hsa-let-7e
200942	KLHDC8B	7.67e-06	2.9e-05	negative	hsa-let-7a
200942	KLHDC8B	7.67e-06	0.00148	negative	hsa-let-7c
1173	AP2M1	7.8e-06	3.98e-06	positive	hsa-miR-193b
55719	FAM178A	7.8e-06	4.01e-06	positive	hsa-miR-454
55719	FAM178A	7.8e-06	3.67e-05	positive	hsa-miR-98
1174	AP1S1	7.82e-06	7.82e-06	negative	hsa-miR-204
54665	RSBN1	7.85e-06	2.69e-07	positive	hsa-miR-16
54665	RSBN1	7.85e-06	2.99e-05	positive	hsa-miR-497
54665	RSBN1	7.85e-06	0.0037	positive	hsa-miR-31
892	CCNC	8.01e-06	8.01e-06	negative	hsa-miR-92b
55751	TMEM184C	8.12e-06	8.12e-06	positive	hsa-miR-183
5144	PDE4D	8.13e-06	1.4e-05	negative	hsa-miR-148b
5144	PDE4D	8.13e-06	9.01e-05	negative	hsa-miR-18a
488	ATP2A2	8.13e-06	2.97e-05	negative	hsa-miR-30d
488	ATP2A2	8.13e-06	0.00362	negative	hsa-miR-25
488	ATP2A2	8.13e-06	2.18e-10	positive	hsa-let-7e
488	ATP2A2	8.13e-06	0.000147	positive	hsa-let-7i
488	ATP2A2	8.13e-06	0.000362	positive	hsa-miR-98
488	ATP2A2	8.13e-06	0.00051	positive	hsa-let-7g
578	BAK1	8.15e-06	8.15e-06	negative	hsa-miR-125b
54482	TRMT13	8.21e-06	7.61e-06	positive	hsa-let-7f
54482	TRMT13	8.21e-06	8.45e-06	positive	hsa-miR-98
54482	TRMT13	8.21e-06	0.00107	positive	hsa-let-7c
80824	DUSP16	8.25e-06	3.02e-05	positive	hsa-miR-149
80824	DUSP16	8.25e-06	0.00978	positive	hsa-miR-24
27113	BBC3	8.41e-06	8.41e-06	positive	hsa-miR-296-5p
23544	SEZ6L	8.45e-06	8.45e-06	negative	hsa-miR-374b
8192	CLPP	8.53e-06	8.53e-06	negative	hsa-miR-27b
64718	UNKL	8.73e-06	2.45e-05	positive	hsa-miR-548c-3p
94031	HTRA3	8.87e-06	8.87e-06	positive	hsa-miR-494
51704	GPRC5B	8.99e-06	8.99e-06	positive	hsa-miR-23a
643	CXCR5	9.14e-06	9.14e-06	positive	hsa-miR-486-5p
374864	C18orf34	9.19e-06	7.92e-08	positive	hsa-miR-505
374864	C18orf34	9.19e-06	1.5e-06	positive	hsa-miR-376c
374864	C18orf34	9.19e-06	0.00021	positive	hsa-miR-595
1964	EIF1AX	9.3e-06	9.3e-06	negative	hsa-miR-622
11043	MID2	9.37e-06	1.29e-06	negative	hsa-miR-575
11043	MID2	9.37e-06	0.00953	positive	hsa-miR-495
310	ANXA7	9.83e-06	3.16e-06	positive	hsa-miR-135a
57144	PAK7	9.98e-06	9.98e-06	negative	hsa-miR-15a
29775	CARD10	1.01e-05	1.01e-05	negative	hsa-miR-16
23670	TMEM2	1.07e-05	2.12e-07	positive	hsa-let-7i
23670	TMEM2	1.07e-05	6.81e-07	positive	hsa-let-7g
23670	TMEM2	1.07e-05	2.37e-05	positive	hsa-let-7f
23670	TMEM2	1.07e-05	0.000104	positive	hsa-let-7a
50486	G0S2	1.1e-05	1.72e-06	negative	hsa-miR-195
50486	G0S2	1.1e-05	1.68e-05	negative	hsa-miR-497
50486	G0S2	1.1e-05	4.95e-05	negative	hsa-miR-16
50486	G0S2	1.1e-05	0.00118	negative	hsa-miR-15a
4077	NBR1	1.1e-05	4.57e-05	positive	hsa-miR-15a
4077	NBR1	1.1e-05	0.000138	positive	hsa-miR-16
4077	NBR1	1.1e-05	0.00132	positive	hsa-miR-497
4077	NBR1	1.1e-05	0.00892	positive	hsa-miR-200c
5500	PPP1CB	1.2e-05	0.00332	negative	hsa-miR-548c-3p
5500	PPP1CB	1.2e-05	3.14e-08	positive	hsa-miR-23b
5997	RGS2	1.21e-05	1.21e-05	negative	hsa-miR-96
8534	CHST1	1.22e-05	9.77e-06	negative	hsa-miR-27b
8534	CHST1	1.22e-05	8.15e-05	negative	hsa-miR-130a
8534	CHST1	1.22e-05	0.00417	negative	hsa-miR-454
8534	CHST1	1.22e-05	0.00112	positive	hsa-miR-92b
6477	SIAH1	1.22e-05	1.22e-05	positive	hsa-miR-16
55785	FGD6	1.23e-05	1.84e-05	negative	hsa-miR-30d
55785	FGD6	1.23e-05	3.54e-06	positive	hsa-miR-27a
55785	FGD6	1.23e-05	3.87e-05	positive	hsa-miR-27b
55884	WSB2	1.25e-05	1.25e-05	negative	hsa-miR-221
4092	SMAD7	1.26e-05	1.26e-05	negative	hsa-miR-32
1749	DLX5	1.3e-05	1.3e-05	negative	hsa-miR-582-5p
5080	PAX6	1.31e-05	1.73e-05	negative	hsa-miR-365
5080	PAX6	1.31e-05	9.24e-05	negative	hsa-miR-455-3p
246269	LACE1	1.32e-05	6.05e-05	negative	hsa-miR-198
246269	LACE1	1.32e-05	0.00252	positive	hsa-miR-20a
863	CBFA2T3	1.32e-05	1.32e-05	negative	hsa-miR-195
9138	ARHGEF1	1.35e-05	1.35e-05	negative	hsa-miR-125a-5p
138639	PTPDC1	1.38e-05	1.38e-05	negative	hsa-miR-30c
65056	GPBP1	1.38e-05	0.000139	negative	hsa-miR-548c-3p
65056	GPBP1	1.38e-05	1.75e-05	positive	hsa-miR-23b
84101	USP44	1.42e-05	6.33e-05	negative	hsa-miR-32
84101	USP44	1.42e-05	6.73e-05	negative	hsa-miR-30e
84101	USP44	1.42e-05	0.0025	negative	hsa-miR-30b
84101	USP44	1.42e-05	0.00749	negative	hsa-miR-25
84101	USP44	1.42e-05	0.000646	positive	hsa-miR-92b
115584	SLC5A11	1.44e-05	4.91e-06	negative	hsa-miR-30c
115584	SLC5A11	1.44e-05	0.00273	positive	hsa-miR-30d
55334	SLC39A9	1.45e-05	3.2e-05	positive	hsa-miR-200a
55334	SLC39A9	1.45e-05	0.00143	positive	hsa-miR-141
4693	NDP	1.48e-05	3.01e-05	negative	hsa-miR-148a
140706	C20orf160	1.49e-05	1.77e-06	positive	hsa-miR-671-5p
10973	ASCC3	1.5e-05	0.000222	negative	hsa-miR-30d
10973	ASCC3	1.5e-05	1.55e-06	positive	hsa-miR-30c
23152	CIC	1.5e-05	2.33e-05	negative	hsa-miR-363
221037	JMJD1C	1.53e-05	2.45e-06	positive	hsa-miR-27b
221037	JMJD1C	1.53e-05	0.00319	positive	hsa-miR-27a
2063	NR2F6	1.57e-05	1.86e-05	negative	hsa-miR-27b
2063	NR2F6	1.57e-05	0.000224	negative	hsa-miR-27a
55904	MLL5	1.59e-05	8.98e-05	negative	hsa-miR-548c-3p
55904	MLL5	1.59e-05	0.000121	positive	hsa-miR-200b
55904	MLL5	1.59e-05	0.00018	positive	hsa-miR-429
57468	SLC12A5	1.66e-05	2.99e-05	negative	hsa-miR-130a
57468	SLC12A5	1.66e-05	0.00722	negative	hsa-miR-301a
57468	SLC12A5	1.66e-05	0.00771	positive	hsa-miR-130b
610	HCN2	1.66e-05	6.25e-07	positive	hsa-miR-671-5p
610	HCN2	1.66e-05	0.00254	positive	hsa-miR-92a
23369	PUM2	1.66e-05	0.000303	negative	hsa-miR-485-3p
23369	PUM2	1.66e-05	1.23e-06	positive	hsa-miR-218
4622	MYH4	1.66e-05	1.66e-05	negative	hsa-miR-23b
10957	PNRC1	1.67e-05	2.26e-09	positive	hsa-miR-455-5p
11253	MAN1B1	1.69e-05	1.69e-05	positive	hsa-miR-30d
5494	PPM1A	1.71e-05	1.68e-07	negative	hsa-miR-584
57799	RAB40C	1.72e-05	1.72e-05	negative	hsa-let-7g
1729	DIAPH1	1.73e-05	6.15e-06	negative	hsa-miR-214
10979	FERMT2	1.75e-05	6.71e-07	positive	hsa-miR-195
1501	CTNND2	1.8e-05	1.8e-05	negative	hsa-miR-218
26280	IL1RAPL2	1.8e-05	4.19e-05	negative	hsa-miR-30c
26280	IL1RAPL2	1.8e-05	0.000565	negative	hsa-miR-30e
26280	IL1RAPL2	1.8e-05	0.00105	positive	hsa-miR-30d
3227	HOXC11	1.81e-05	5.54e-06	negative	hsa-miR-195
3227	HOXC11	1.81e-05	3.48e-05	negative	hsa-let-7d
3227	HOXC11	1.81e-05	8.92e-05	negative	hsa-miR-16
3227	HOXC11	1.81e-05	0.000605	negative	hsa-let-7a
51552	RAB14	1.84e-05	4.59e-05	positive	hsa-miR-338-3p
575	BAI1	1.87e-05	1.87e-05	positive	hsa-miR-760
84937	ZNRF1	1.89e-05	1.42e-05	negative	hsa-miR-30b
84937	ZNRF1	1.89e-05	8.18e-05	negative	hsa-miR-30c
203447	NRK	1.89e-05	1.89e-05	positive	hsa-miR-139-5p
28514	DLL1	1.91e-05	1.22e-05	negative	hsa-miR-15b
28514	DLL1	1.91e-05	0.000536	negative	hsa-miR-107
28514	DLL1	1.91e-05	0.00103	negative	hsa-miR-130b
28514	DLL1	1.91e-05	0.00177	negative	hsa-miR-454
9169	SCAF11	1.93e-05	0.000415	negative	hsa-miR-92b
9169	SCAF11	1.93e-05	0.000512	positive	hsa-miR-363
9169	SCAF11	1.93e-05	0.000748	positive	hsa-miR-218
9169	SCAF11	1.93e-05	0.00481	positive	hsa-miR-25
9643	MORF4L2	1.94e-05	7.83e-05	positive	hsa-miR-338-3p
9832	JAKMIP2	1.97e-05	1.97e-05	negative	hsa-miR-107
27252	KLHL20	1.98e-05	1.98e-05	positive	hsa-miR-130a
55667	DENND4C	1.98e-05	0.000923	negative	hsa-miR-300
55667	DENND4C	1.98e-05	4.37e-09	positive	hsa-miR-454
51317	PHF21A	2.18e-05	5.79e-06	positive	hsa-miR-374b
51317	PHF21A	2.18e-05	4.18e-05	positive	hsa-miR-374a
51317	PHF21A	2.18e-05	0.00279	positive	hsa-miR-495
57476	GRAMD1B	2.19e-05	1.63e-05	positive	hsa-miR-92b
3221	HOXC4	2.19e-05	1.08e-08	negative	hsa-miR-455-3p
161436	EML5	2.29e-05	3.61e-06	positive	hsa-miR-29c
161436	EML5	2.29e-05	0.000391	positive	hsa-miR-29b
51742	ARID4B	2.29e-05	2.29e-05	negative	hsa-miR-494
2560	GABRB1	2.32e-05	7.76e-06	negative	hsa-miR-30c
2560	GABRB1	2.32e-05	0.00135	negative	hsa-miR-30b
55500	ETNK1	2.44e-05	2.44e-05	positive	hsa-miR-340
27245	AHDC1	2.49e-05	2.49e-05	negative	hsa-miR-374a
221914	GPC2	2.56e-05	2.56e-05	positive	hsa-miR-296-5p
203259	FAM219A	2.57e-05	2.57e-05	negative	hsa-miR-200b
23162	MAPK8IP3	2.58e-05	2.58e-05	positive	hsa-miR-874
10614	HEXIM1	2.6e-05	2.6e-05	positive	hsa-miR-222
56034	PDGFC	2.65e-05	3.48e-06	positive	hsa-miR-29b
11313	LYPLA2	2.67e-05	2.67e-05	positive	hsa-miR-296-5p
57609	DIP2B	2.69e-05	2.69e-05	positive	hsa-miR-200a
22887	FOXJ3	2.7e-05	4.23e-05	positive	hsa-miR-425
22887	FOXJ3	2.7e-05	0.00896	positive	hsa-miR-219-5p
80351	TNKS2	2.76e-05	1.34e-06	positive	hsa-miR-20a
6470	SHMT1	2.82e-05	2.82e-05	negative	hsa-miR-218
27069	GHITM	2.83e-05	1.77e-06	positive	hsa-miR-23b
27069	GHITM	2.83e-05	0.008	positive	hsa-miR-23a
2000	ELF4	2.83e-05	2.83e-05	negative	hsa-let-7b
5087	PBX1	2.88e-05	3.01e-05	negative	hsa-miR-198
26511	CHIC2	2.89e-05	0.00223	negative	hsa-miR-197
26511	CHIC2	2.89e-05	4.72e-05	positive	hsa-miR-29b
